T1,E1,T2,E2,C1,C2,V,Th1,Th2
0.0,0,0.0,0,0.204835,0.377143,1.0,0.0,0.0
0.0278320000002,47,0.0275879999999,48,0.98989,1.040879,0.998459,0.301429738562,0.307843137255
0.0605460000002,183,0.0603030000002,211,0.501099,0.48,0.993844,1.17365196078,1.35322712418
0.0881340000001,329,0.0876459999999,370,0.34022,0.286593,0.986184,2.11000816993,2.37295751634
0.116455,498,0.116211,549,0.216264,0.225055,0.975524,3.19387254902,3.52095588235
0.144775,675,0.144531,738,0.166154,0.176703,0.961929,4.32904411765,4.73308823529
0.175048,870,0.174805,947,0.13011,0.122198,0.945481,5.57965686275,6.07348856209
0.202148,1047,0.20166,1137,0.115165,0.095824,0.92628,6.71482843137,7.29203431373
0.229248,1226,0.229492,1333,0.109011,0.077363,0.904441,7.86282679739,8.54906045752
0.257324,1410,0.25708,1530,0.096703,0.081758,0.880096,9.04289215686,9.8125
0.284423,1588,0.28418,1724,0.085275,0.073846,0.853394,10.1844771242,11.0566993464
0.314453,1783,0.314209,1936,0.077363,0.067692,0.824496,11.4350898693,12.4163398693
0.343017,1966,0.342529,2138,0.068571,0.073846,0.793578,12.6087418301,13.7118464052
0.370117,2139,0.369873,2328,0.078242,0.043956,0.760828,13.7182598039,14.9303921569
0.397461,2311,0.397217,2517,0.068571,0.044835,0.726445,14.8213643791,16.1425245098
0.424804,2480,0.424316,2703,0.064176,0.03956,0.69064,15.9052287582,17.3354166667
0.456543,2672,0.456055,2916,0.065055,0.03956,0.653632,17.1366013072,18.7014705882
0.483886,2835,0.483642,3098,0.072088,0.036923,0.615648,18.1819852941,19.8687091503
0.510986,2993,0.510742,3274,0.061538,0.052747,0.576921,19.1953022876,20.9974673203
0.538818,3154,0.538574,3452,0.062418,0.038681,0.537691,20.2278594771,22.1390522876
0.566406,3308,0.566162,3624,0.050989,0.026374,0.4982,21.2155228758,23.2421568627
0.596923,3474,0.59668,3811,0.057143,0.050989,0.458694,22.2801470588,24.4414624183
0.624023,3618,0.623779,3973,0.055385,0.027253,0.419418,23.2036764706,25.4804330065
0.651611,3762,0.651367,4134,0.062418,0.023736,0.380617,24.1272058824,26.5129901961
0.679199,3903,0.678955,4292,0.047473,0.031648,0.342537,25.031495098,27.5263071895
0.706298,4036,0.706055,4443,0.044835,0.023736,0.305415,25.8844771242,28.4947303922
0.735595,4178,0.735351,4604,0.052747,0.029011,0.269489,26.7951797386,29.5272875817
0.763427,4308,0.763183,4751,0.047473,0.026374,0.234985,27.6289215686,30.4700571895
0.791504,4435,0.791016,4896,0.053626,0.026374,0.202126,28.4434232026,31.4
0.818603,4556,0.818115,5034,0.053626,0.025495,0.171123,29.2194444444,32.2850490196
0.847168,4679,0.846924,5176,0.056264,0.076484,0.142177,30.0082924837,33.195751634
0.877441,4804,0.876953,5319,0.046593,0.026374,0.115478,30.8099673203,34.1128676471
0.905029,4916,0.904541,5447,0.044835,0.026374,0.091202,31.5282679739,34.9337826797
0.932129,5024,0.931885,5571,0.046593,0.02989,0.069511,32.2209150327,35.7290441176
0.959961,5129,0.959717,5693,0.050989,0.023736,0.050552,32.8943218954,36.5114787582
0.98706,5230,0.986816,5809,0.043956,0.028132,0.034455,33.5420751634,37.2554330065
1.016601,5336,1.016357,5918,0.04044,0.014945,0.021333,34.2218954248,37.9544934641
1.043945,5428,1.043701,6026,0.029011,0.007033,0.011281,34.8119281046,38.6471405229
1.071777,5516,1.071289,6130,0.029011,0.00967,0.004375,35.3763071895,39.3141339869
1.098632,5596,1.098389,6224,0.029011,0.012308,0.000672,35.889379085,39.9169934641
1.125732,5671,1.125488,6313,0.02989,0.007912,0.000207,36.3703839869,40.4877859477
1.156738,5750,1.156494,6407,0.030769,0.021978,0.002997,36.8770424837,41.0906454248
1.183838,5813,1.183594,6483,0.032527,0.011429,0.009037,37.2810866013,41.5780637255
1.210937,5873,1.210693,6555,0.030769,0.014066,0.018301,37.6658905229,42.0398284314
1.238281,5929,1.237793,6597,0.061538,0.032527,0.030742,38.0250408497,42.3091911765
1.266113,5984,1.265869,6663,0.058022,0.044835,0.046292,38.3777777778,42.7324754902
1.293212,6037,1.292969,6727,0.061538,0.05011,0.064863,38.7176879085,43.1429330065
1.322754,6093,1.32251,6795,0.063297,0.036044,0.086345,39.0768382353,43.5790441176
1.350586,6146,1.350342,6858,0.063297,0.065055,0.110611,39.416748366,43.9830882353
1.378662,6199,1.378418,6920,0.065055,0.03956,0.137512,39.7566584967,44.3807189542
1.405761,6249,1.405517,6980,0.065934,0.034286,0.166881,40.0773284314,44.7655228758
1.432861,6300,1.432617,7038,0.111648,0.049231,0.198535,40.4044117647,45.1375
1.464355,6359,1.464111,7107,0.07033,0.042198,0.232271,40.7828022876,45.5800245098
1.491455,6411,1.491211,7165,0.072967,0.074725,0.267874,41.1162990196,45.952001634
1.518554,6464,1.51831,7224,0.075604,0.053626,0.305113,41.4562091503,46.3303921569
1.54541,6518,1.544922,7283,0.073846,0.078242,0.343744,41.8025326797,46.7087826797
1.572998,6576,1.572754,7346,0.083516,0.072967,0.383512,42.1745098039,47.1128267974
1.603027,6642,1.602783,7416,0.086154,0.057143,0.42415,42.5977941176,47.5617647059
1.630127,6705,1.629883,7483,0.097582,0.091429,0.465385,43.0018382353,47.9914624183
1.65747,6773,1.657226,7554,0.107253,0.08,0.506937,43.4379493464,48.4468137255
1.685302,6847,1.685058,7631,0.126593,0.086154,0.54852,43.9125408497,48.9406454248
1.712402,6926,1.712158,7707,0.128352,0.123956,0.589846,44.4191993464,49.4280637255
1.746093,7032,1.745605,7816,0.152088,0.123077,0.630626,45.0990196078,50.127124183
1.773681,7129,1.773437,7917,0.182857,0.151209,0.670572,45.721119281,50.774877451
1.803955,7245,1.803711,8033,0.167912,0.16,0.709396,46.4650735294,51.5188316993
1.831298,7358,1.831055,8157,0.18022,0.181978,0.746821,47.1897875817,52.3140931373
1.859619,7486,1.859131,8290,0.191648,0.195165,0.78257,48.0107026144,53.1670751634
1.890136,7636,1.889648,8446,0.203077,0.225055,0.81638,48.9727124183,54.1675653595
1.917968,7784,1.917724,8603,0.217143,0.203077,0.847997,49.9218954248,55.1744689542
1.945068,7936,1.944824,8763,0.222418,0.203077,0.877179,50.8967320261,56.2006127451
1.9729,8098,1.972656,8935,0.198681,0.20044,0.903701,51.9357026144,57.3037173203
2.000488,8267,2.000244,9114,0.174066,0.160879,0.927354,53.0195669935,58.4517156863
2.030273,8454,2.030029,9314,0.15033,0.182857,0.947944,54.218872549,59.7343954248
2.057617,8631,2.057373,9504,0.143297,0.123077,0.965303,55.3540441176,60.9529411765
